"length_url","length_hostname","ip","nb_dots","nb_qm","nb_eq","nb_slash","nb_www","ratio_digits_url","ratio_digits_host","tld_in_subdomain","prefix_suffix","shortest_word_host","longest_words_raw","longest_word_path","phish_hints","nb_hyperlinks","ratio_intHyperlinks","empty_title","domain_in_title","domain_age","google_index","page_rank"
98,26,1,2,0,0,9,1,0.295918367,0,0,1,3,32,32,2,22,0.545454545,0,1,2300,1,2
15,8,0,1,0,0,2,0,0,0,0,0,5,5,0,0,35,0.971428571,0,0,2580,0,2
65,22,0,2,0,0,4,0,0,0,0,0,4,13,9,0,265,0.939622642,0,0,5825,0,7
131,27,0,2,1,1,7,0,0.030534351,0,0,1,2,40,40,0,26,0.115384615,0,1,8019,1,4
50,23,0,2,0,0,4,1,0,0,0,1,3,10,10,0,279,0.741935484,0,0,7839,0,6
51,32,0,2,0,0,4,0,0,0,0,0,13,14,10,0,7,0,0,1,2306,1,0
45,11,0,3,0,0,5,1,0.133333333,0,0,0,3,9,9,0,420,0.976190476,0,1,-1,0,6
159,14,1,2,1,2,8,0,0.270440252,0,0,0,10,40,40,0,13,0.923076923,0,1,1500,1,0
44,22,1,2,0,0,4,1,0.227272727,0.136363636,0,1,3,14,7,0,43,0.953488372,0,1,2739,1,6
103,19,0,3,1,1,4,0,0.077669903,0,0,0,4,44,44,0,64,0.84375,0,1,134,1,2
46,20,0,4,0,0,5,0,0,0,0,0,4,7,7,0,0,0,1,1,7802,1,5
45,16,0,2,0,0,4,0,0,0,0,0,2,10,10,0,253,0.920948617,0,1,7133,0,7
51,26,0,3,0,0,5,1,0,0,0,0,3,16,11,0,91,0.615384615,0,1,1690,1,2
38,19,0,3,0,0,4,1,0,0,0,0,3,11,4,0,184,0.766304348,0,1,1588,1,0
81,27,1,2,0,0,5,1,0.283950617,0,0,0,3,32,32,0,30,0.966666667,0,1,5767,1,2
112,31,0,2,0,0,4,0,0,0,0,0,10,16,11,0,83,0.614457831,0,1,7615,0,5
39,16,0,2,0,0,4,0,0,0,0,0,5,9,9,2,27,0.740740741,0,1,8348,0,10
99,15,0,2,0,0,7,0,0.080808081,0,0,0,4,16,16,1,27,0.37037037,0,1,8348,1,10
45,27,0,2,0,0,3,1,0,0,0,0,3,19,5,0,118,0.974576271,0,1,6989,1,4
60,35,0,5,0,0,4,0,0.033333333,0.057142857,0,1,1,18,7,2,21,0.19047619,0,1,5615,1,5
74,19,0,3,0,0,10,0,0.081081081,0,0,0,7,9,9,0,0,0,1,1,9327,0,5
61,18,0,3,0,0,4,1,0,0,0,1,3,8,8,0,54,0.944444444,0,1,3561,0,4
40,32,0,4,0,0,2,0,0.125,0.15625,0,0,1,15,0,0,0,0,1,1,5614,0,5
52,24,0,3,0,0,4,1,0.038461538,0,0,0,3,16,8,0,0,0,1,1,5408,1,1
88,24,0,7,0,0,4,0,0,0,0,0,5,10,10,0,1,0,0,0,8346,1,10
74,12,0,2,1,1,4,0,0.027027027,0,0,0,8,10,10,0,167,0.988023952,0,1,5877,0,5
46,16,0,2,0,0,4,1,0.065217391,0,0,1,3,8,7,0,849,0.941107185,0,1,2633,1,7
54,17,0,3,0,0,4,1,0,0,0,0,3,13,13,0,0,0,1,1,6512,0,4
54,21,0,1,0,0,6,0,0,0,0,1,7,10,9,1,5,0.6,0,1,-1,1,0
38,16,0,2,0,0,4,0,0,0,0,0,2,9,4,0,385,0.937662338,0,0,7134,1,7
67,15,0,2,0,0,5,1,0,0,0,0,3,10,10,0,212,0.617924528,0,0,9394,0,6
62,13,0,5,0,0,7,0,0,0,0,1,10,10,9,2,0,0,1,1,5044,1,0
59,17,0,3,0,0,6,0,0.06779661,0,0,0,13,13,8,1,13,1,0,1,2573,1,0
57,38,0,4,0,0,3,0,0.01754386,0.026315789,0,0,4,18,5,0,0,0,0,1,1246,1,4
32,12,0,1,0,0,4,0,0,0,0,1,8,8,7,0,44,0.772727273,0,0,2872,0,3
46,25,0,2,0,0,5,1,0,0,0,0,3,17,7,0,0,0,1,1,4537,1,1
37,16,0,2,0,0,4,0,0,0,0,0,2,9,7,0,199,0.964824121,0,0,7133,0,7
36,29,0,2,0,0,2,0,0.027777778,0.034482759,0,0,8,16,0,0,14,0.071428571,0,1,7295,1,5
52,18,0,2,0,0,7,0,0.038461538,0,0,0,14,14,5,1,1,1,0,1,973,1,2
32,24,1,2,0,0,3,0,0.25,0.333333333,0,0,8,11,0,0,5,0,0,1,7296,1,5
34,11,0,1,0,0,3,0,0,0,0,0,7,14,14,0,25,0.52,1,1,7491,0,10
27,19,0,3,0,0,3,1,0,0,0,0,3,9,0,0,33,0.212121212,0,1,-1,0,2
92,22,1,2,0,0,8,0,0.304347826,0,0,1,15,32,32,3,11,1,0,1,-1,1,1
102,12,0,2,0,0,7,1,0.058823529,0,0,0,3,22,22,0,148,0.864864865,0,1,8442,0,5
32,23,0,2,0,0,3,1,0,0,0,0,3,15,0,0,181,0.546961326,0,1,2277,0,3
29,20,0,2,0,0,3,1,0,0,0,0,3,12,0,0,81,0.691358025,0,1,1800,0,3
119,24,0,4,1,0,9,0,0.008403361,0,0,1,2,17,13,3,98,0.846938776,0,1,-1,1,4
59,21,0,2,0,0,6,1,0.06779661,0,0,0,3,13,8,1,129,0.968992248,0,1,3952,0,4
54,19,0,2,0,0,3,0,0,0,0,0,15,15,8,0,98,0.887755102,0,1,4855,0,4
151,10,1,3,0,0,3,0,0.271523179,0,0,0,7,110,110,0,45,0.511111111,0,1,166,1,0
84,25,0,3,0,0,5,1,0.035714286,0,0,0,3,17,8,0,38,0.5,0,1,4093,0,4
55,10,0,3,0,0,6,0,0,0,0,1,3,8,8,3,41,0.804878049,0,1,-1,1,2
18,9,0,1,0,0,3,0,0,0,0,0,6,6,0,0,437,0.961098398,0,0,-1,0,2
39,16,0,2,0,0,3,1,0,0,0,0,3,14,14,0,137,0.328467153,0,0,8516,0,10
28,19,0,2,0,0,3,1,0,0,0,1,3,6,0,0,218,0.935779817,0,1,7689,0,3
32,16,0,3,0,0,3,1,0,0,0,1,3,4,4,0,31,0.709677419,0,1,5913,0,5
16,9,0,1,0,0,2,0,0,0,0,0,4,4,0,0,139,0.769784173,0,0,-1,0,2
23,12,0,1,0,0,4,0,0,0,0,0,8,8,2,0,0,0,1,1,4141,1,0
29,21,0,3,0,0,3,1,0,0,0,0,3,11,0,0,104,0.038461538,0,1,4664,0,4
29,20,0,2,0,0,3,1,0,0,0,0,3,13,0,0,124,0.919354839,0,1,317,0,0
41,15,0,2,0,0,4,1,0,0,0,0,3,11,11,0,65,0.8,0,1,4566,0,5
22,6,0,1,0,0,3,0,0.181818182,0,0,0,3,7,7,0,16,0.5,0,1,-1,1,9
52,14,0,3,0,0,5,1,0.038461538,0,0,0,3,7,7,0,2,0,1,1,657,1,0
38,20,0,3,0,0,6,1,0.026315789,0,0,0,3,13,3,0,1,1,0,1,-1,1,2
30,21,0,3,0,0,3,1,0,0,0,0,3,10,0,0,77,0.402597403,0,1,-1,0,2
76,50,1,4,0,0,4,0,0.105263158,0,1,1,3,15,15,0,51,1,0,1,3993,1,0
430,13,1,24,2,10,21,1,0.039534884,0.769230769,1,0,2,10,10,3,21,0.428571429,0,1,-1,1,0
37,19,0,2,0,0,3,0,0,0,0,0,2,12,10,0,38,0.921052632,0,0,4823,1,4
73,23,0,3,0,0,3,0,0.068493151,0,0,0,5,13,8,0,61,0.754098361,0,0,11046,0,6
56,15,0,2,0,0,5,1,0.107142857,0,0,0,3,9,9,0,0,0,1,1,2939,1,0
70,13,0,1,0,0,5,0,0,0,0,0,9,9,7,0,52,0.788461538,0,1,3385,1,5
70,20,0,3,0,0,5,0,0,0,1,0,4,13,13,0,0,0,1,1,7802,1,5
52,19,0,2,0,0,5,1,0.076923077,0,0,1,3,11,8,0,83,0.879518072,0,1,-1,1,5
31,22,0,2,0,0,3,1,0,0,0,1,3,7,0,0,24,0.083333333,0,1,5366,0,2
90,19,1,4,0,0,6,2,0.244444444,0,0,0,3,32,32,1,52,0.615384615,0,1,2112,1,1
45,15,1,3,0,0,5,0,0.155555556,0,0,0,3,8,7,0,315,0.93968254,0,1,7156,0,3
55,20,0,3,0,0,4,1,0.036363636,0.05,0,0,3,12,10,0,77,0.844155844,0,0,7602,0,4
65,12,0,3,0,0,6,1,0.076923077,0.166666667,0,0,3,15,15,0,5,1,0,1,135,1,0
41,33,0,2,0,0,3,0,0.073170732,0.090909091,1,1,5,13,0,0,184,0.222826087,0,1,1546,1,2
71,25,1,2,1,1,4,0,0.169014085,0,0,1,6,14,7,0,582,0.288659794,0,1,7,1,0
83,16,0,2,1,1,7,0,0.072289157,0,0,0,5,33,33,1,10,0,0,0,8348,1,10
73,18,1,1,0,0,5,0,0.342465753,0,0,1,14,32,32,0,14,1,0,1,-1,1,0
44,30,0,2,0,0,3,0,0.204545455,0.1,0,0,3,11,6,0,4,1,0,1,184,1,0
114,16,0,4,1,1,8,1,0.052631579,0,0,1,3,16,16,2,1,1,0,1,2403,0,3
127,50,1,4,1,3,4,0,0.157480315,0,1,1,3,17,17,0,51,1,0,1,3992,1,0
99,20,0,4,1,1,4,0,0.070707071,0,0,0,3,44,44,0,32,0.59375,0,1,254,0,0
56,20,0,2,0,0,7,1,0,0,0,1,3,7,7,1,38,0.815789474,0,1,6041,1,1
51,17,0,3,0,0,4,1,0,0,0,0,3,12,12,0,147,0.795918367,0,0,7284,1,7
51,14,0,5,0,0,4,0,0,0,0,0,7,7,7,3,4,1,0,1,-1,1,0
40,24,0,2,0,0,5,1,0,0,0,1,3,13,3,0,98,0.979591837,0,0,-1,0,3
33,14,0,3,0,0,6,1,0,0,0,0,3,5,5,1,145,0.944827586,0,1,5111,1,1
88,20,0,2,0,0,6,0,0,0,0,0,7,9,9,0,296,0.972972973,0,0,8024,0,5
122,18,0,2,0,0,5,1,0.049180328,0,0,0,3,10,8,0,161,0.925465839,0,1,5993,0,7
53,20,0,3,0,0,4,1,0,0,0,0,3,12,10,0,53,0.886792453,0,1,2684,0,4
46,37,0,6,0,0,3,0,0.086956522,0.108108108,1,1,2,6,0,0,3,1,0,1,725,1,1
36,29,0,2,0,0,2,0,0,0,0,0,8,16,0,0,14,0.071428571,0,1,7295,1,5
31,23,0,2,0,0,3,1,0,0,0,0,3,15,0,0,64,0.421875,0,1,3754,0,4
48,16,0,2,0,0,6,1,0,0,0,0,3,8,7,0,154,0.590909091,0,0,5381,0,5
101,6,0,2,1,3,5,0,0,0,0,0,3,19,19,1,38,0.447368421,0,1,3743,1,2
41,19,0,3,0,0,4,1,0,0,0,0,3,11,6,0,0,0,1,1,5416,0,3
43,35,0,4,0,0,3,0,0.093023256,0.114285714,0,0,4,10,0,1,1,1,0,1,1901,1,0
15,8,0,1,0,0,2,0,0,0,0,0,5,5,0,0,0,0,0,0,3937,0,2
42,10,0,3,0,0,3,1,0.071428571,0,0,0,3,9,9,0,37,0.864864865,0,1,6668,1,4
51,15,0,1,0,0,4,0,0,0,0,0,11,11,7,0,157,0.356687898,0,0,4413,0,5
48,27,0,3,0,0,4,1,0,0,0,0,2,6,4,0,0,0,1,1,3983,1,0
49,19,0,1,0,0,5,0,0,0,0,0,15,15,8,0,209,0.899521531,0,1,7732,0,5
25,13,0,1,1,1,3,0,0,0,0,1,3,5,1,0,22,0.954545455,0,1,2647,0,1
49,15,0,2,0,0,5,1,0.020408163,0,0,0,3,8,8,0,326,0.714723926,0,0,9285,0,7
48,25,0,3,0,0,3,0,0.020833333,0,0,0,7,13,6,0,141,0.90070922,0,0,8047,0,5
108,25,0,4,1,0,6,1,0.037037037,0,0,1,3,23,23,3,10,0.9,0,0,531,1,0
39,20,0,2,0,0,4,0,0,0,0,0,17,17,5,0,0,0,0,0,1028,1,0
80,20,0,4,0,0,5,1,0,0,0,0,3,10,10,0,146,0.883561644,0,1,5334,1,4
36,17,0,2,0,0,3,1,0,0,0,0,3,9,6,0,60,0.216666667,0,1,7602,1,4
28,19,0,2,0,0,3,1,0,0,0,1,3,6,0,0,416,0.612980769,0,1,6460,0,4
33,14,0,2,0,0,3,0,0.060606061,0,0,0,3,10,10,1,8,0.125,0,1,1953,1,3
23,14,0,3,0,0,3,1,0,0,0,0,3,3,0,0,168,0.642857143,0,0,-1,0,4
77,18,0,2,0,0,4,1,0,0,0,0,3,10,9,0,319,0.63322884,0,1,5224,0,8
342,19,1,5,0,4,5,1,0.415204678,0,0,0,3,34,34,1,31,0.483870968,0,1,-1,1,2
38,29,0,2,0,0,3,0,0.131578947,0.172413793,0,1,6,9,0,0,3,1,0,1,189,1,2
73,22,0,2,0,0,4,1,0,0,0,0,3,14,7,2,148,0.695945946,0,1,6203,1,5
33,15,0,2,0,0,4,1,0,0,0,0,3,7,4,0,53,0.490566038,0,0,5639,0,10
67,17,0,3,0,0,6,1,0,0,0,0,3,9,9,0,0,0,1,1,1785,1,2
39,18,0,2,0,0,4,0,0.051282051,0,0,0,5,9,9,0,72,0.652777778,0,0,6431,1,5
24,15,0,2,0,0,3,1,0,0,0,0,3,7,0,0,323,0.959752322,0,0,2254,0,4
26,17,0,2,0,0,3,1,0,0,0,0,3,10,0,0,53,0.867924528,0,0,-1,0,3
39,7,0,2,0,0,6,0,0.128205128,0,0,0,3,6,6,0,0,0,1,1,9253,0,6
62,22,1,3,0,0,3,1,0.35483871,0,0,1,3,32,32,0,0,0,1,1,5825,1,0
41,13,0,2,0,0,4,0,0,0,0,0,9,9,6,2,41,0.829268293,0,1,1899,1,1
40,31,0,2,0,0,3,0,0,0,0,0,8,18,0,0,14,0.071428571,0,1,7295,1,5
51,26,0,3,0,0,3,1,0,0,0,1,3,9,7,0,8,0.875,0,1,4120,0,3
59,12,0,2,0,0,5,1,0.06779661,0,0,0,3,8,8,0,665,0.882706767,0,0,3650,1,5
50,20,0,3,0,0,5,1,0,0,0,0,3,12,8,0,77,0.896103896,0,1,8044,0,6
52,25,0,2,0,0,4,1,0.057692308,0.04,0,1,2,18,18,0,103,0.932038835,0,1,6831,1,0
43,15,0,2,0,0,4,0,0,0,0,1,11,11,7,0,21,0.238095238,0,1,3904,1,0
94,42,0,3,0,0,5,0,0.127659574,0.071428571,1,0,8,30,7,0,57,0.122807018,0,1,4183,1,3
60,15,0,4,0,0,4,1,0,0,0,0,3,15,15,0,77,0.987012987,0,0,2403,0,3
18,11,0,1,0,0,2,0,0,0,0,0,6,6,0,0,105,0.80952381,0,0,-1,0,2
204,27,0,2,1,2,5,0,0.132352941,0,0,0,7,65,65,1,12,0.583333333,0,1,7968,0,7
94,24,1,7,0,0,4,0,0.159574468,0,0,0,5,19,19,1,1,0,0,0,8346,0,10
41,33,0,4,0,0,3,0,0,0,1,1,3,7,0,0,20,0.95,0,1,-1,1,0
19,11,0,2,0,0,3,0,0.157894737,0.272727273,0,0,1,5,0,0,45,1,0,1,1154,1,0
35,22,0,2,0,0,3,0,0.028571429,0.045454545,0,1,3,14,3,0,0,0,1,1,3608,1,0
63,26,0,3,0,0,6,0,0,0,0,0,22,22,9,0,23,0.173913043,0,1,2870,1,2
53,21,0,2,0,0,6,1,0.075471698,0,0,0,3,13,7,0,0,0,0,1,5972,1,0
75,44,0,4,0,0,6,0,0,0,0,0,1,9,9,1,21,0.19047619,0,1,5616,1,5
35,27,0,2,0,0,2,0,0.114285714,0.148148148,0,0,8,15,0,0,24,0,0,1,6381,1,3
210,14,0,4,1,11,3,2,0.066666667,0,0,0,3,40,40,0,0,0,1,1,8348,0,10
44,13,0,1,0,0,3,0,0,0,0,0,9,9,8,0,109,0.871559633,0,1,4825,0,5
150,40,1,5,1,1,4,0,0.486666667,0,0,0,3,88,88,0,8,1,0,1,4405,1,0
39,22,0,3,0,0,4,1,0,0,0,0,3,14,4,0,0,0,1,1,570,1,2
64,15,0,2,0,0,9,1,0,0,0,1,3,8,6,2,33,0.242424242,0,1,3381,1,2
106,20,1,4,1,1,7,1,0.160377358,0,0,0,3,12,12,0,0,0,0,1,4681,0,3
34,20,0,2,0,0,4,0,0,0,0,0,7,9,4,0,52,0.980769231,0,0,-1,0,0
65,16,0,2,0,0,4,0,0,0,0,0,2,13,13,0,822,0.903892944,0,0,7133,0,7
60,14,0,3,0,0,8,1,0.033333333,0.142857143,0,1,3,7,7,3,33,0.242424242,0,1,2290,1,2
25,14,0,1,0,0,4,0,0,0,0,0,10,10,2,0,7,0.857142857,0,1,896,1,0
39,21,0,2,0,0,4,1,0.128205128,0,0,0,3,13,5,0,182,0.626373626,0,1,6901,0,5
38,15,0,3,0,0,4,1,0,0,0,1,3,5,5,0,335,0.970149254,0,0,3899,0,4
129,8,0,2,1,5,6,0,0.023255814,0,0,0,4,15,15,0,11,0.909090909,0,1,-2,1,0
52,15,0,2,0,0,5,1,0,0,0,1,3,8,8,0,280,0.807142857,0,0,9224,0,5
30,14,1,3,0,0,4,0,0.366666667,0.785714286,1,0,2,7,7,0,0,0,1,1,-1,1,0
33,24,0,2,0,0,3,0,0,0,0,0,9,10,0,0,105,0.619047619,0,1,7449,0,8
118,27,1,3,0,0,5,0,0.076271186,0,0,0,7,15,12,0,8,0.375,0,0,7287,0,4
27,20,0,1,0,0,2,0,0,0,0,0,6,10,0,0,58,0.913793103,0,1,2625,0,2
78,16,0,3,0,0,9,0,0.166666667,0,0,0,4,7,6,0,0,0,1,1,11192,0,6
35,27,0,2,0,0,3,0,0.028571429,0.037037037,0,1,5,11,0,0,7,1,0,1,2839,1,2
32,18,0,1,0,0,4,0,0,0,0,1,2,12,5,0,140,0.971428571,0,1,-1,1,0
64,39,0,5,0,0,4,0,0.0625,0.102564103,0,0,1,9,7,2,22,0.181818182,0,1,5615,1,5
38,29,0,2,0,0,3,0,0.078947368,0.103448276,0,1,6,9,0,0,3,1,0,1,189,1,2
24,15,0,3,0,0,3,1,0,0,0,0,3,4,0,0,67,0.835820896,0,1,4996,0,4
68,15,0,3,0,0,5,1,0,0,0,0,3,22,22,0,49,0.755102041,0,1,3526,0,5
126,50,1,4,1,3,5,0,0.166666667,0,1,1,3,17,17,0,51,1,0,1,3993,1,0
41,16,0,2,0,0,4,0,0,0,0,0,2,9,6,0,339,0.943952802,0,0,7130,0,7
48,16,0,2,0,0,4,0,0,0,0,0,2,9,6,0,215,0.911627907,0,0,7134,0,7
29,21,0,2,0,0,3,1,0,0,0,0,3,13,0,0,9,0.333333333,0,1,3904,0,2
24,15,0,2,0,0,3,1,0,0,0,0,3,7,0,0,72,0.861111111,0,1,2980,0,2
50,17,0,3,0,0,4,1,0.02,0.058823529,0,0,3,9,5,2,1294,0.99690881,0,1,7427,0,7
126,50,1,4,1,3,4,0,0.119047619,0,1,1,3,17,17,0,51,1,0,1,3992,1,0
39,11,0,2,0,0,6,1,0,0,0,0,3,8,8,0,177,0.943502825,0,0,8627,0,6
102,15,1,1,0,0,9,0,0.196078431,0,0,1,11,32,32,3,88,0.897727273,0,1,2047,1,0
31,23,0,2,0,0,3,1,0.064516129,0.086956522,0,0,3,15,0,0,46,0.608695652,0,1,2425,0,2
86,22,1,3,1,1,4,1,0.279069767,0,0,1,3,32,32,0,0,0,1,1,5826,1,0
78,16,0,2,0,0,8,1,0.102564103,0,0,0,3,9,9,0,259,0.544401544,0,1,6068,0,4
29,20,0,3,0,0,3,1,0,0,0,0,3,9,0,0,138,0.166666667,0,1,3477,0,2
33,12,1,2,1,0,3,1,0.212121212,0,0,0,3,7,7,0,579,0.747841105,0,0,8965,0,8
27,12,0,1,0,0,4,0,0,0,0,1,3,6,6,0,8,0,0,1,7,0,0
24,15,0,2,0,0,3,1,0,0,0,0,3,8,0,0,24,0.833333333,0,1,-1,0,2
39,20,0,2,0,0,4,1,0,0,0,0,3,12,9,0,226,0.845132743,0,0,6096,0,4
28,21,0,2,0,0,2,0,0,0,0,0,3,6,0,0,128,0.7578125,0,1,5903,0,4
102,24,1,3,1,2,3,0,0.107843137,0,0,0,7,47,47,0,224,0.977678571,0,1,5627,0,5
43,18,0,2,0,0,4,1,0,0,0,0,3,11,8,0,1041,0.994236311,0,1,4153,1,4
27,19,0,2,0,0,3,1,0,0,0,0,3,11,0,0,33,0.363636364,0,0,4764,0,4
101,17,0,2,0,0,7,0,0.079207921,0,0,0,4,11,11,0,48,0.4375,0,0,9744,0,7
60,28,0,3,0,0,3,1,0,0,0,0,3,10,10,0,43,0.674418605,0,1,3163,0,4
38,13,0,3,1,1,3,1,0,0,0,0,3,6,5,0,452,0.951327434,0,1,-1,0,4
19,10,0,1,0,0,3,0,0,0,0,0,6,6,0,0,0,0,1,1,2088,1,0
137,15,0,3,0,0,4,1,0.262773723,0,0,0,3,7,5,0,74,0.878378378,0,0,4162,1,5
263,179,1,14,1,1,5,1,0.129277567,0.162011173,1,0,2,60,22,1,0,0,1,1,-1,1,0
22,6,0,1,0,0,3,0,0.181818182,0,0,0,3,7,7,0,44,0.545454545,0,1,-1,1,9
89,21,0,3,1,1,6,0,0.011235955,0,0,0,17,17,7,4,25,1,0,1,918,1,0
28,19,0,2,0,0,3,1,0,0,0,0,3,11,0,0,58,0.293103448,0,0,5890,0,3
49,26,0,3,0,0,3,0,0.020408163,0,1,0,8,13,11,0,139,0.899280576,0,0,8046,0,5
45,36,0,4,0,0,3,0,0.066666667,0.083333333,0,0,1,7,0,1,22,0.181818182,0,1,5616,1,5
30,22,0,2,0,0,3,0,0,0,0,0,8,10,0,0,197,0.172588832,0,1,5442,0,2
54,10,0,2,0,0,5,0,0,0,0,1,7,12,12,2,0,0,0,1,3188,1,2
29,22,0,2,0,0,2,1,0,0,0,0,3,15,0,0,26,0.5,0,1,-1,0,2
86,16,0,3,1,1,6,0,0,0,0,1,12,13,13,1,6,0.833333333,0,1,3977,1,2
26,18,0,2,0,0,3,0,0.076923077,0.111111111,0,0,3,10,0,0,0,0,1,1,1,1,0
83,20,1,2,0,0,4,1,0.108433735,0,0,0,3,12,11,0,171,0.824561404,0,1,4549,0,7
49,28,0,2,0,0,3,0,0,0,0,1,8,15,8,0,4,0.75,0,1,1,1,0
33,12,1,2,1,0,3,1,0.212121212,0,0,0,3,7,7,0,555,0.742342342,0,0,8969,0,8
40,18,0,2,0,0,4,1,0,0,0,0,3,10,7,0,115,0.756521739,0,0,9205,0,6
56,18,0,2,0,0,5,1,0,0,0,1,3,10,6,0,176,0.943181818,0,1,8697,1,5
27,18,0,2,0,0,3,1,0,0,0,0,3,11,0,0,162,0.783950617,0,0,3873,0,2
70,33,0,3,0,0,3,1,0,0,0,0,3,10,10,0,114,0.842105263,0,1,4821,0,3
128,120,0,10,0,0,3,0,0.0546875,0.058333333,0,0,2,35,0,2,0,0,1,1,65,1,0
25,6,0,1,0,0,3,0,0.12,0,0,0,3,11,11,0,0,0,1,1,-1,1,6
33,16,0,2,0,0,4,1,0,0,0,0,3,8,7,0,147,0.421768707,0,0,8517,0,10
52,16,0,2,0,0,4,1,0,0,0,0,3,10,10,0,177,0.559322034,0,0,3118,0,7
31,22,0,2,0,0,3,1,0,0,0,0,3,14,0,0,357,0.607843137,0,1,7318,0,5
41,32,0,2,0,0,3,0,0.097560976,0.125,0,0,8,19,0,0,15,0,0,1,7295,1,5
